Delay (Days),Bugs Found,Bugs Fixed,Bug Fix Ratio,Team Size,Hours Worked,Budget (USD),Risk Factor,Critical Issues Found,Critical Issue Ratio,Feature Delivery Ratio,Team Skill Level,Resource Utilization Rate,Client Involvement,Complexity Score
50.0,66,49,0.7424242424242424,9,281,117156,9,15,0.22727272727272727,0.9411764705882353,Low,50,Medium,Medium
24.1,35,4,0.11428571428571428,5,1511,143089,9,3,0.08571428571428572,0.6153846153846154,Low,77,Low,Medium
50.0,59,21,0.3559322033898305,18,1589,197853,1,21,0.3559322033898305,0.8,Low,81,Low,Medium
50.0,100,22,0.22,11,732,136602,4,5,0.05,0.9183673469387755,Low,58,Low,Medium
40.099999999999994,72,67,0.9305555555555556,8,795,74163,10,11,0.1527777777777778,0.9523809523809523,High,95,Low,High
41.1,32,13,0.40625,5,1281,93196,9,15,0.46875,0.0,Low,80,Medium,Medium
18.4,18,2,0.1111111111111111,11,897,83938,1,2,0.1111111111111111,0.0,Low,70,Low,Low
50.0,95,15,0.15789473684210525,6,1611,95016,6,16,0.16842105263157894,0.14285714285714285,High,61,Medium,Low
46.99999999999999,82,53,0.6463414634146342,19,921,174811,10,12,0.14634146341463414,0.9787234042553191,High,93,Medium,Medium
40.9,43,33,0.7674418604651163,20,495,175567,9,12,0.27906976744186046,1.0,Medium,100,High,High
50.0,52,27,0.5192307692307693,7,1632,195598,6,21,0.40384615384615385,0.9375,Low,90,Low,Low
47.5,86,51,0.5930232558139535,10,230,53369,5,6,0.06976744186046512,0.7872340425531915,High,84,Medium,Low
29.8,22,10,0.45454545454545453,20,1203,50617,10,9,0.4090909090909091,0.7692307692307693,Medium,99,Medium,High
31.5,22,4,0.18181818181818182,15,802,85836,7,10,0.45454545454545453,0.3076923076923077,Low,73,High,Low
28.299999999999997,46,11,0.2391304347826087,7,841,131151,5,0,0.0,0.8064516129032258,High,65,High,Low
28.099999999999998,36,34,0.9444444444444444,8,1962,114823,7,10,0.2777777777777778,1.0,High,91,Medium,Low
19.200000000000003,13,6,0.46153846153846156,10,745,125088,6,1,0.07692307692307693,0.875,Medium,61,High,High
50.0,66,58,0.8787878787878788,10,1829,142319,5,29,0.4393939393939394,0.0,Medium,73,High,Low
21.299999999999997,31,6,0.1935483870967742,8,770,89148,3,1,0.03225806451612903,0.7222222222222222,Medium,80,Low,Low
50.0,60,30,0.5,20,1605,111684,6,26,0.43333333333333335,0.4375,High,68,Low,Low
50.0,80,19,0.2375,17,1762,170463,9,15,0.1875,0.8,Medium,95,High,High
31.8,81,78,0.9629629629629629,10,1585,85985,7,1,0.012345679012345678,0.9069767441860465,High,85,High,Low
50.0,54,51,0.9444444444444444,5,486,96008,7,14,0.25925925925925924,0.6,High,54,Low,Medium
50.0,66,34,0.5151515151515151,5,689,132867,1,30,0.45454545454545453,0.9565217391304348,Low,95,High,Medium
14.5,11,11,1.0,5,680,97987,4,4,0.36363636363636365,0.5,High,94,Low,Medium
43.5,37,13,0.35135135135135137,6,716,92254,1,17,0.4594594594594595,0.9230769230769231,Low,98,Low,High
50.0,89,84,0.9438202247191011,10,1063,152528,10,22,0.24719101123595505,0.9791666666666666,High,78,High,Low
50.0,94,19,0.20212765957446807,13,254,69413,8,30,0.3191489361702128,0.6470588235294118,High,92,High,High
50.0,55,0,0.0,12,677,77760,3,23,0.41818181818181815,0.65,Medium,82,Low,High
45.5,50,21,0.42,6,1839,123938,6,16,0.32,0.98,High,85,Low,Low
22.400000000000002,17,0,0.0,12,613,128885,9,5,0.29411764705882354,0.7916666666666666,High,76,High,Low
42.599999999999994,57,29,0.5087719298245614,19,1772,96903,5,13,0.22807017543859648,0.8,High,95,Medium,Low
50.0,84,41,0.4880952380952381,19,867,170449,5,25,0.2976190476190476,0.8157894736842105,High,88,Medium,High
22.5,25,23,0.92,9,1218,163220,3,0,0.0,0.7,Low,90,High,High
36.5,50,13,0.26,10,444,153358,4,6,0.12,0.8333333333333334,Medium,70,Medium,High
43.0,64,60,0.9375,11,1974,88136,2,6,0.09375,0.7,Medium,51,Low,High
50.0,66,41,0.6212121212121212,12,360,113992,4,20,0.30303030303030304,0.8461538461538461,Low,51,High,Low
50.0,89,15,0.16853932584269662,17,459,81170,7,11,0.12359550561797752,0.7619047619047619,Medium,81,Medium,High
40.2,70,70,1.0,7,1794,197295,5,5,0.07142857142857142,0.775,Low,79,Medium,Low
50.0,81,1,0.012345679012345678,6,338,97282,10,37,0.4567901234567901,0.7297297297297297,Medium,55,Low,Low
34.7,44,7,0.1590909090909091,11,517,79493,1,3,0.06818181818181818,0.7777777777777778,Medium,65,Low,High
34.4,19,14,0.7368421052631579,8,587,104346,8,7,0.3684210526315789,0.75,Medium,79,High,High
50.0,83,45,0.5421686746987951,10,1116,99109,10,6,0.07228915662650602,0.6875,Low,52,Medium,Medium
23.2,39,32,0.8205128205128205,11,729,53835,2,3,0.07692307692307693,0.8125,Medium,100,Medium,High
50.0,53,52,0.9811320754716981,12,1247,155063,4,20,0.37735849056603776,0.625,High,74,Medium,Medium
24.5,65,53,0.8153846153846154,12,1514,162683,10,1,0.015384615384615385,0.9,Medium,95,Medium,Medium
50.0,90,0,0.0,16,1168,185396,1,35,0.3888888888888889,0.896551724137931,Low,86,Medium,Medium
36.5,86,3,0.03488372093023256,13,579,94995,6,4,0.046511627906976744,0.16666666666666666,Medium,99,High,Low
41.6,45,6,0.13333333333333333,9,350,172351,3,10,0.2222222222222222,0.5,Low,92,High,High
50.0,55,37,0.6727272727272727,11,1211,71399,6,26,0.4727272727272727,0.5882352941176471,Medium,51,High,Medium
45.2,38,24,0.631578947368421,15,943,199328,6,17,0.4473684210526316,0.7,Low,96,High,Medium
26.3,30,17,0.5666666666666667,7,434,53316,8,7,0.23333333333333334,0.5,High,81,High,High
50.0,77,57,0.7402597402597403,7,1318,127284,10,22,0.2857142857142857,0.7777777777777778,Medium,93,High,Medium
50.0,86,82,0.9534883720930233,13,626,147625,6,37,0.43023255813953487,0.625,High,97,Medium,Medium
50.0,69,28,0.4057971014492754,14,410,186316,10,25,0.36231884057971014,0.9629629629629629,Low,93,High,Low
36.9,46,9,0.1956521739130435,8,996,171049,8,5,0.10869565217391304,0.6666666666666666,Low,57,Low,Medium
24.0,29,8,0.27586206896551724,10,538,86379,8,0,0.0,0.2857142857142857,Low,81,High,High
15.700000000000001,33,11,0.3333333333333333,12,1679,148447,1,0,0.0,0.9428571428571428,Low,81,Medium,Low
30.599999999999998,44,34,0.7727272727272727,12,607,114567,7,6,0.13636363636363635,0.5714285714285714,Low,83,High,Medium
50.0,92,14,0.15217391304347827,18,1454,165261,2,33,0.358695652173913,0.8163265306122449,Low,67,High,High
50.0,52,33,0.6346153846153846,11,780,158249,10,22,0.4230769230769231,0.8780487804878049,Low,100,Low,Medium
33.099999999999994,57,34,0.5964912280701754,14,1642,118525,4,3,0.05263157894736842,0.7959183673469388,Low,90,Medium,Medium
50.0,69,45,0.6521739130434783,19,1197,75550,1,29,0.42028985507246375,0.9130434782608695,Medium,52,High,High
50.0,89,46,0.5168539325842697,11,230,90918,2,19,0.21348314606741572,0.8636363636363636,Medium,72,Low,High
50.0,75,8,0.10666666666666667,14,1175,91038,8,37,0.49333333333333335,0.5294117647058824,Low,66,Low,Low
32.3,53,33,0.6226415094339622,14,1330,190904,6,4,0.07547169811320754,0.84,Low,93,Medium,High
50.0,56,52,0.9285714285714286,15,770,116849,7,19,0.3392857142857143,0.5714285714285714,High,76,Medium,Low
50.0,76,15,0.19736842105263158,7,859,102392,5,16,0.21052631578947367,0.9090909090909091,Low,99,High,High
39.8,31,7,0.22580645161290322,15,1813,100898,4,12,0.3870967741935484,0.6666666666666666,Low,70,Low,Medium
50.0,97,91,0.9381443298969072,19,501,94699,5,40,0.41237113402061853,1.0,Low,72,Medium,Medium
50.0,62,61,0.9838709677419355,12,1587,101632,8,28,0.45161290322580644,0.8947368421052632,High,60,High,Low
40.099999999999994,53,3,0.05660377358490566,17,1075,131667,10,10,0.18867924528301888,0.8260869565217391,Low,74,Medium,Medium
50.0,80,8,0.1,11,1259,186700,7,10,0.125,0.8648648648648649,High,67,High,High
23.200000000000003,17,2,0.11764705882352941,14,441,185394,10,5,0.29411764705882354,0.6875,Medium,72,Medium,Low
21.299999999999997,24,5,0.20833333333333334,14,1004,197103,9,0,0.0,0.7272727272727273,High,52,High,Low
38.2,68,3,0.04411764705882353,9,920,154373,3,5,0.07352941176470588,0.8928571428571429,High,81,Low,Medium
43.3,36,29,0.8055555555555556,15,1147,130829,2,17,0.4722222222222222,0.8461538461538461,High,100,Medium,High
24.1,22,1,0.045454545454545456,12,1529,102030,1,2,0.09090909090909091,0.9166666666666666,Low,75,Medium,High
43.1,34,34,1.0,5,284,192329,8,14,0.4117647058823529,0.967741935483871,Low,53,Medium,Low
50.0,71,47,0.6619718309859155,15,1295,184866,6,23,0.323943661971831,0.8333333333333334,High,55,High,High
50.0,38,3,0.07894736842105263,13,768,102160,3,18,0.47368421052631576,0.7692307692307693,Medium,54,High,High
9.799999999999999,13,3,0.23076923076923078,8,1111,101325,9,2,0.15384615384615385,0.8648648648648649,Medium,98,High,Medium
22.7,18,11,0.6111111111111112,12,722,119384,5,3,0.16666666666666666,0.6,Low,51,Medium,High
39.8,73,33,0.4520547945205479,15,1840,59991,7,8,0.1095890410958904,0.0,High,93,Low,Low
36.9,61,34,0.5573770491803278,10,670,71178,5,9,0.14754098360655737,0.46153846153846156,Low,92,High,Medium
47.3,90,6,0.06666666666666667,6,324,174353,6,7,0.07777777777777778,1.0,High,76,Medium,Low
50.0,79,12,0.1518987341772152,5,1410,142564,5,22,0.27848101265822783,0.6153846153846154,High,74,Low,Low
16.1,12,2,0.16666666666666666,12,745,94289,8,0,0.0,0.5294117647058824,Medium,70,High,Medium
30.299999999999997,68,56,0.8235294117647058,17,1397,173815,4,2,0.029411764705882353,0.8260869565217391,Low,88,High,Medium
24.299999999999997,34,2,0.058823529411764705,13,1106,198853,3,0,0.0,0.8571428571428571,High,77,Medium,High
37.2,45,4,0.08888888888888889,15,464,120951,3,5,0.1111111111111111,0.8333333333333334,Low,59,Medium,Medium
50.0,77,55,0.7142857142857143,8,1495,51393,1,25,0.3246753246753247,0.6666666666666666,Medium,60,Low,Medium
28.0,43,32,0.7441860465116279,17,602,192732,10,5,0.11627906976744186,0.23076923076923078,Low,97,High,Medium
21.400000000000002,16,9,0.5625,8,1734,108693,6,6,0.375,0.7647058823529411,Low,87,Low,Low
18.4,12,5,0.4166666666666667,9,904,147098,8,2,0.16666666666666666,0.7037037037037037,Low,61,Medium,High
38.699999999999996,67,6,0.08955223880597014,17,1669,132394,1,4,0.05970149253731343,0.8108108108108109,High,67,High,Medium
50.0,37,1,0.02702702702702703,8,1827,134415,9,18,0.4864864864864865,0.7058823529411765,Low,95,Low,High
24.9,35,17,0.4857142857142857,18,428,106392,8,3,0.08571428571428572,0.16666666666666666,Medium,83,Low,High
19.0,28,15,0.5357142857142857,20,1930,167568,3,3,0.10714285714285714,0.9130434782608695,Medium,92,Low,Medium
29.5,61,59,0.9672131147540983,10,616,88610,7,3,0.04918032786885246,0.8333333333333334,Medium,74,Medium,Low
50.0,54,6,0.1111111111111111,15,1787,102496,5,14,0.25925925925925924,0.8461538461538461,Medium,61,Low,Medium
35.5,80,4,0.05,8,380,57738,7,0,0.0,0.6111111111111112,High,75,High,High
50.0,83,44,0.5301204819277109,9,427,156455,10,19,0.2289156626506024,0.8809523809523809,High,63,Low,Low
34.6,26,11,0.4230769230769231,9,605,53656,8,8,0.3076923076923077,0.7931034482758621,Medium,61,High,Medium
17.699999999999996,36,20,0.5555555555555556,8,1512,97526,7,0,0.0,0.7619047619047619,Medium,93,Medium,Low
50.0,77,10,0.12987012987012986,5,1154,161808,8,31,0.4025974025974026,0.7083333333333334,Low,65,Low,Low
50.0,89,52,0.5842696629213483,9,341,106898,7,33,0.3707865168539326,0.9142857142857143,Medium,52,High,Medium
50.0,54,5,0.09259259259259259,9,1787,177475,5,25,0.46296296296296297,1.0,High,93,High,Low
50.0,91,29,0.31868131868131866,16,1642,71178,8,44,0.4835164835164835,0.9523809523809523,Medium,62,Medium,Low
50.0,97,61,0.6288659793814433,19,1971,198060,3,31,0.31958762886597936,1.0,Low,90,Low,Medium
30.8,21,4,0.19047619047619047,18,686,120348,7,3,0.14285714285714285,0.8222222222222222,Low,50,High,High
50.0,75,58,0.7733333333333333,17,1126,149941,10,37,0.49333333333333335,0.4666666666666667,Low,80,Low,Medium
13.100000000000001,16,5,0.3125,6,1956,90773,5,0,0.0,0.7272727272727273,High,81,Medium,Medium
50.0,71,64,0.9014084507042254,9,237,171998,1,16,0.22535211267605634,0.6666666666666666,High,91,High,Medium
24.699999999999996,41,6,0.14634146341463414,6,597,50975,2,0,0.0,0.85,High,78,Medium,High
50.0,90,26,0.28888888888888886,14,404,181000,5,45,0.5,0.8333333333333334,Low,100,High,Medium
50.0,46,24,0.5217391304347826,16,1502,60496,2,21,0.45652173913043476,0.42857142857142855,Medium,90,Low,High
45.3,57,36,0.631578947368421,16,1895,142863,8,8,0.14035087719298245,0.88,Low,84,Low,High
38.7,27,8,0.2962962962962963,7,247,100961,5,11,0.4074074074074074,0.5625,High,62,Low,Medium
50.0,83,31,0.37349397590361444,19,1293,50721,2,23,0.27710843373493976,0.9230769230769231,Medium,65,Low,Medium
50.0,58,1,0.017241379310344827,14,216,66765,6,16,0.27586206896551724,0.5454545454545454,Low,52,High,High
50.0,82,33,0.4024390243902439,18,368,179520,8,10,0.12195121951219512,0.5,Low,76,Low,Medium
28.6,19,1,0.05263157894736842,17,824,59743,7,6,0.3157894736842105,0.65,Low,73,Low,Low
50.0,75,9,0.12,7,609,80631,3,9,0.12,0.8076923076923077,Low,53,Low,Low
34.3,39,33,0.8461538461538461,11,452,83647,7,7,0.1794871794871795,0.25,High,77,Low,Medium
45.599999999999994,96,10,0.10416666666666667,13,695,104434,1,5,0.052083333333333336,0.9642857142857143,High,71,Low,High
31.799999999999997,43,11,0.2558139534883721,18,1831,110321,2,6,0.13953488372093023,0.8,Low,78,High,Medium
26.4,10,0,0.0,6,1139,112565,9,5,0.5,0.7674418604651163,High,53,Low,Low
23.299999999999997,23,13,0.5652173913043478,12,1874,189674,6,0,0.0,0.7894736842105263,High,68,Low,High
17.5,23,3,0.13043478260869565,7,1359,181261,7,4,0.17391304347826086,0.6666666666666666,Medium,87,Medium,Low
44.7,44,1,0.022727272727272728,12,1174,116239,3,16,0.36363636363636365,0.25,High,95,Low,Low
50.0,71,28,0.39436619718309857,7,439,69194,8,25,0.352112676056338,0.7777777777777778,Medium,90,Low,Low
40.0,96,6,0.0625,12,1026,67795,6,3,0.03125,0.6666666666666666,Low,94,Medium,Medium
49.9,68,11,0.16176470588235295,18,827,67325,7,15,0.22058823529411764,0.5,High,95,Medium,Low
50.0,97,38,0.3917525773195876,8,1776,59126,3,21,0.21649484536082475,0.8,High,62,Low,Medium
50.0,72,63,0.875,8,1543,183995,1,17,0.2361111111111111,0.8214285714285714,High,54,High,High
28.400000000000002,17,14,0.8235294117647058,20,1595,75151,3,8,0.47058823529411764,0.4444444444444444,Medium,91,High,Medium
50.0,79,58,0.7341772151898734,20,1083,80508,5,20,0.25316455696202533,0.8181818181818182,High,72,High,Low
28.1,39,19,0.48717948717948717,15,928,168509,8,4,0.10256410256410256,0.7647058823529411,High,73,Low,Medium
25.4,36,32,0.8888888888888888,10,1811,159545,10,6,0.16666666666666666,0.9714285714285714,High,92,High,Medium
50.0,64,28,0.4375,12,779,181874,4,13,0.203125,0.8809523809523809,High,77,Medium,High
50.0,91,37,0.4065934065934066,20,238,66323,6,43,0.4725274725274725,0.7619047619047619,High,97,Medium,High
27.2,34,28,0.8235294117647058,20,1879,118780,7,8,0.23529411764705882,0.9130434782608695,High,85,High,Medium
28.3,56,27,0.48214285714285715,20,1150,93365,3,3,0.05357142857142857,1.0,Medium,75,High,Medium
50.0,89,77,0.8651685393258427,13,1997,141602,4,33,0.3707865168539326,0.8888888888888888,Low,63,Medium,Low
50.0,85,82,0.9647058823529412,19,1960,118343,1,41,0.4823529411764706,0.6521739130434783,Medium,64,Low,Low
50.0,52,24,0.46153846153846156,10,280,171646,4,20,0.38461538461538464,1.0,Low,57,High,High
23.0,47,24,0.5106382978723404,12,1456,55093,5,0,0.0,0.8333333333333334,High,73,High,Low
17.8,16,1,0.0625,17,1069,196741,4,1,0.0625,0.4,Low,65,Medium,High
29.3,17,1,0.058823529411764705,18,1443,81971,6,7,0.4117647058823529,0.8148148148148148,High,54,High,Medium
46.8,58,6,0.10344827586206896,12,1614,132264,5,9,0.15517241379310345,0.825,Low,53,High,High
37.5,35,35,1.0,13,1608,195024,1,9,0.2571428571428571,0.0,High,90,High,High
35.0,38,30,0.7894736842105263,9,1869,124068,5,8,0.21052631578947367,0.82,Medium,77,Medium,Low
35.0,26,25,0.9615384615384616,9,783,178443,2,12,0.46153846153846156,0.0,High,89,High,Medium
50.0,81,47,0.5802469135802469,5,1065,121314,5,21,0.25925925925925924,0.6666666666666666,Low,60,High,Low
21.9,21,17,0.8095238095238095,11,514,72930,6,2,0.09523809523809523,0.7333333333333333,Medium,62,High,Medium
50.0,73,70,0.958904109589041,19,1324,135938,10,17,0.2328767123287671,0.8846153846153846,Medium,93,High,Medium
45.39999999999999,57,24,0.42105263157894735,16,317,63890,4,7,0.12280701754385964,0.9047619047619048,Low,66,High,High
22.9,14,12,0.8571428571428571,12,1787,65411,6,4,0.2857142857142857,0.7241379310344828,High,59,Low,Medium
29.0,60,53,0.8833333333333333,7,1996,153548,10,3,0.05,0.0,Medium,100,Low,Medium
44.400000000000006,39,2,0.05128205128205128,11,1913,176636,4,17,0.4358974358974359,1.0,Low,74,Medium,High
17.6,13,7,0.5384615384615384,20,1406,58027,3,5,0.38461538461538464,1.0,Low,84,Medium,High
49.2,50,3,0.06,10,501,70032,4,11,0.22,0.3,High,79,High,High
38.8,63,38,0.6031746031746031,13,891,193262,9,11,0.1746031746031746,1.0,High,93,Low,Medium
48.2,37,1,0.02702702702702703,6,1993,57097,8,15,0.40540540540540543,0.3333333333333333,Low,87,Low,High
47.5,90,2,0.022222222222222223,12,1442,74266,3,9,0.1,1.0,Low,95,Medium,High
50.0,80,23,0.2875,6,1833,120422,9,9,0.1125,0.8,Low,56,Low,Low
50.0,100,61,0.61,11,775,175098,8,25,0.25,0.7777777777777778,Low,98,Medium,Medium
50.0,55,9,0.16363636363636364,10,1761,103443,5,15,0.2727272727272727,0.6428571428571429,Low,70,Low,Medium
50.0,71,69,0.971830985915493,17,1046,91426,6,34,0.4788732394366197,0.8333333333333334,Low,64,Low,High
50.0,95,33,0.3473684210526316,20,759,144365,1,46,0.4842105263157895,0.926829268292683,Medium,79,Medium,High
43.9,38,29,0.7631578947368421,6,849,139669,9,18,0.47368421052631576,0.8,Low,90,Low,Low
32.4,46,29,0.6304347826086957,16,1178,102079,3,7,0.15217391304347827,0.8604651162790697,Low,87,Medium,Low
39.8,85,14,0.16470588235294117,15,1187,119986,2,7,0.08235294117647059,0.9333333333333333,High,91,High,Medium
50.0,95,73,0.7684210526315789,16,288,194387,3,18,0.18947368421052632,0.7777777777777778,Medium,52,Low,High
18.099999999999998,13,6,0.46153846153846156,6,1123,77639,10,5,0.38461538461538464,0.6,Medium,94,Medium,Low
49.8,51,45,0.8823529411764706,9,547,73554,4,19,0.37254901960784315,1.0,High,75,Low,High
33.6,70,2,0.02857142857142857,13,888,120917,8,0,0.0,0.6190476190476191,Medium,62,Medium,High
50.0,65,33,0.5076923076923077,8,808,121432,4,26,0.4,0.868421052631579,Low,77,Medium,Medium
23.7,10,4,0.4,13,1369,61453,7,2,0.2,0.7142857142857143,Medium,54,High,Low
50.0,65,18,0.27692307692307694,5,1353,158109,4,18,0.27692307692307694,0.8205128205128205,Low,77,High,High
50.0,54,49,0.9074074074074074,14,360,168382,1,20,0.37037037037037035,0.782608695652174,Medium,63,Medium,Low
31.7,25,4,0.16,15,1185,173189,9,9,0.36,0.625,Medium,84,High,High
16.0,23,15,0.6521739130434783,18,1062,124240,6,2,0.08695652173913043,0.8936170212765957,Low,97,Low,High
40.7,49,24,0.4897959183673469,14,1295,76284,8,9,0.1836734693877551,0.7777777777777778,Low,65,Low,Medium
43.699999999999996,31,27,0.8709677419354839,19,1169,181383,9,15,0.4838709677419355,0.9285714285714286,Medium,63,High,Medium
35.2,59,30,0.5084745762711864,14,796,108022,10,9,0.15254237288135594,0.7692307692307693,High,90,Medium,Low
35.3,15,2,0.13333333333333333,12,1015,56016,10,7,0.4666666666666667,0.8648648648648649,Low,56,High,High
32.0,29,16,0.5517241379310345,9,945,78297,6,11,0.3793103448275862,0.9361702127659575,Medium,96,Low,Low
50.0,93,79,0.8494623655913979,9,1961,69808,10,43,0.46236559139784944,0.9285714285714286,Low,82,Medium,Low
31.7,28,19,0.6785714285714286,7,1012,159513,4,8,0.2857142857142857,0.9565217391304348,Medium,56,High,High
28.3,26,9,0.34615384615384615,13,1357,99558,6,10,0.38461538461538464,0.4,Low,95,High,High
45.89999999999999,87,8,0.09195402298850575,11,1327,88769,2,7,0.08045977011494253,0.8717948717948718,Medium,71,High,Low
29.4,40,0,0.0,9,348,199642,7,4,0.1,0.9183673469387755,Medium,78,High,High
25.0,29,26,0.896551724137931,5,1610,53118,9,0,0.0,0.9787234042553191,Low,51,Low,High
50.0,90,50,0.5555555555555556,13,1210,104656,6,36,0.4,0.92,Low,53,High,Low
50.0,66,8,0.12121212121212122,17,713,176489,3,20,0.30303030303030304,0.76,Medium,61,Medium,Low
50.0,96,44,0.4583333333333333,5,1500,118402,10,33,0.34375,0.0,Medium,64,Low,Low
15.5,15,3,0.2,14,1756,93785,2,1,0.06666666666666667,0.8157894736842105,Medium,85,High,Low
49.49999999999999,57,51,0.8947368421052632,5,1967,129359,5,17,0.2982456140350877,0.9714285714285714,Medium,73,Medium,Medium
50.0,73,23,0.3150684931506849,20,431,132941,2,34,0.4657534246575342,0.0,Medium,92,High,Medium
38.3,40,11,0.275,8,680,119392,3,10,0.25,0.6896551724137931,High,81,Low,High
50.0,63,3,0.047619047619047616,16,843,83864,2,19,0.30158730158730157,0.1111111111111111,Low,62,High,Low
26.4,51,49,0.9607843137254902,8,610,165846,10,1,0.0196078431372549,0.75,High,67,Medium,Medium
50.0,80,1,0.0125,9,1525,85053,10,32,0.4,0.7297297297297297,High,95,High,Low
50.0,69,35,0.5072463768115942,7,1175,87622,2,28,0.4057971014492754,0.6153846153846154,Medium,67,High,Low
27.0,53,11,0.20754716981132076,11,637,54843,8,1,0.018867924528301886,0.90625,Low,82,Low,Low
50.0,88,29,0.32954545454545453,14,387,98105,6,13,0.14772727272727273,0.78125,Medium,94,Medium,Low
50.0,76,3,0.039473684210526314,11,1596,143483,10,29,0.3815789473684211,0.7692307692307693,Medium,95,Medium,Low
50.0,55,39,0.7090909090909091,18,1140,69151,2,18,0.32727272727272727,0.9354838709677419,High,57,Medium,High
50.0,70,67,0.9571428571428572,13,1606,136562,10,23,0.32857142857142857,0.9736842105263158,Low,70,Medium,Low
50.0,62,35,0.5645161290322581,20,1145,82490,3,27,0.43548387096774194,0.8888888888888888,Low,88,Low,Low
35.599999999999994,68,29,0.4264705882352941,10,284,166097,6,5,0.07352941176470588,0.4666666666666667,High,94,Low,Low
50.0,56,21,0.375,9,1653,71561,10,27,0.48214285714285715,0.8571428571428571,Low,64,High,Medium
22.4,13,12,0.9230769230769231,12,1175,50050,3,6,0.46153846153846156,0.9333333333333333,Medium,70,Medium,Low
26.5,19,12,0.631578947368421,7,1796,169291,10,5,0.2631578947368421,0.72,Medium,71,Low,Low
50.0,99,84,0.8484848484848485,6,1583,171162,10,31,0.31313131313131315,1.0,High,83,High,Low
26.9,18,9,0.5,16,1279,194027,9,1,0.05555555555555555,0.8333333333333334,Medium,70,High,High
41.2,69,47,0.6811594202898551,13,1745,170389,10,4,0.057971014492753624,0.47058823529411764,High,70,Medium,Low
23.299999999999997,33,25,0.7575757575757576,15,1588,165363,3,2,0.06060606060606061,0.375,High,78,Low,Low
17.7,14,4,0.2857142857142857,6,571,74809,5,4,0.2857142857142857,0.9565217391304348,Medium,80,Low,Medium
50.0,87,70,0.8045977011494253,5,1376,78205,1,37,0.42528735632183906,1.0,High,96,Low,Low
50.0,96,46,0.4791666666666667,17,1352,67643,5,38,0.3958333333333333,0.7435897435897436,Medium,90,Medium,High
50.0,77,19,0.24675324675324675,19,1107,127422,7,31,0.4025974025974026,0.5384615384615384,High,75,Low,Low
50.0,81,27,0.3333333333333333,7,788,102713,6,12,0.14814814814814814,0.6428571428571429,Low,90,High,Low
21.7,18,5,0.2777777777777778,10,925,119228,1,2,0.1111111111111111,0.7586206896551724,High,66,Low,Medium
50.0,93,52,0.5591397849462365,16,1422,81687,6,16,0.17204301075268819,0.64,High,97,Low,High
40.699999999999996,31,7,0.22580645161290322,18,805,179325,2,11,0.3548387096774194,0.7058823529411765,High,63,High,Medium
50.0,82,40,0.4878048780487805,5,1425,93190,7,26,0.3170731707317073,0.9166666666666666,Medium,65,Low,Medium
